"Year","name","Country.Code","AverageAnnualTemperature","Lo 80","Hi 80","Lo 95","Hi 95","Continent"
2004,"Chile","CHL",12.46978125,NA,NA,NA,NA,"Americas"
2005,"Chile","CHL",12.2584652777778,NA,NA,NA,NA,"Americas"
2006,"Chile","CHL",12.6070451388889,NA,NA,NA,NA,"Americas"
2007,"Chile","CHL",11.6778958333333,NA,NA,NA,NA,"Americas"
2008,"Chile","CHL",12.5991597222222,NA,NA,NA,NA,"Americas"
2009,"Chile","CHL",12.3850208333333,NA,NA,NA,NA,"Americas"
2010,"Chile","CHL",12.0334756944444,NA,NA,NA,NA,"Americas"
2011,"Chile","CHL",12.3608125,NA,NA,NA,NA,"Americas"
2012,"Chile","CHL",12.7311319444444,NA,NA,NA,NA,"Americas"
1990,"China","CHN",13.8095774122807,NA,NA,NA,NA,"Asia"
1991,"China","CHN",13.2033228070175,NA,NA,NA,NA,"Asia"
1992,"China","CHN",13.0789526315789,NA,NA,NA,NA,"Asia"
1993,"China","CHN",12.9768423245614,NA,NA,NA,NA,"Asia"
1994,"China","CHN",13.7405166666667,NA,NA,NA,NA,"Asia"
1995,"China","CHN",13.3819975877193,NA,NA,NA,NA,"Asia"
1996,"China","CHN",13.0262714912281,NA,NA,NA,NA,"Asia"
1997,"China","CHN",13.6284385964912,NA,NA,NA,NA,"Asia"
1998,"China","CHN",14.2485734649123,NA,NA,NA,NA,"Asia"
1999,"China","CHN",13.8084835526316,NA,NA,NA,NA,"Asia"
2000,"China","CHN",13.4190872807018,NA,NA,NA,NA,"Asia"
2001,"China","CHN",13.631613377193,NA,NA,NA,NA,"Asia"
2002,"China","CHN",13.9593157894737,NA,NA,NA,NA,"Asia"
2003,"China","CHN",13.6470916666667,NA,NA,NA,NA,"Asia"
2004,"China","CHN",13.8814089912281,NA,NA,NA,NA,"Asia"
